City,State,Population,Gender_Ratio,Tier,Literacy_Rate,Category,Total_Sales,Discount,Assurance_Sales,Holiday_Sales,Summer_Sales,Winter_Sales,Rain_Sales,01-01-2023,01-02-2023,01-03-2023,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023
Agra,UttarPradesh,1048240,853,1,9,Computers,332.74,40.82,49.75,162.76,153.6476567,140.945457,38.14544004,42.04,59.04,29.08,83.84,34.83,5.89,1.06,28.02,0.01,9.05,19.27,20.61
Agra,UttarPradesh,1048240,853,1,9,Home & Kitchen,69.9,24.58,9,0.36,32.27891947,29.61039013,8.013747907,17.3,2.11,5.67,7.36,16.32,2.93,1.63,1.22,4.07,1.09,5.46,4.75
Agra,UttarPradesh,1048240,853,1,9,"Kitchen, Cookware & Serveware",25.17,9.38,3.75,2.58,11.62041101,10.65974045,2.884949247,0.14,2.19,0.6,5.81,0.22,4.99,0.29,1.26,0.9,0.45,4.43,3.9
Agra,UttarPradesh,1048240,853,1,9,Health & Personal Care Appliances,357.9,40.94,54,147.01,165.2680677,151.6051974,41.03038928,29.33,56,72.31,63.08,4.17,25.7,25.13,5.07,2.99,7.84,9.73,56.55
Agra,UttarPradesh,1048240,853,1,9,Health Care,125.83,27.11,18,30.74,58.10205505,53.29870223,14.42474623,13.59,12.47,22.85,7.88,6.92,20.45,4.53,1.63,0.06,8.21,13.06,14.18
Agra,UttarPradesh,1048240,853,1,9,Footwear,3005.83,62.32,373.5,266.57,1387.993537,1273.246775,344.59116,540.55,65.05,579.04,189.52,129.91,489.52,1.17,121.19,67.03,155.2,623.77,43.88
Agra,UttarPradesh,1048240,853,1,9,Festive Decor & Gifting,120.23,31.21,19.25,16.35,55.51974149,50.92987102,13.7836464,16.91,9.47,2.15,10.32,23.78,19.27,1.67,4.57,1.77,5.78,20.17,4.39
Agra,UttarPradesh,1048240,853,1,9,Beauty and Grooming,796.89,52.45,117.5,53.41,367.979682,337.5584474,91.35672614,0.23,39.78,46.71,4.03,38.82,278.42,0.71,26.65,63.35,0.64,116.19,181.35
Agra,UttarPradesh,1048240,853,1,9,Cameras & Accessories,184.54,37.01,18,5.32,85.21634741,78.17142993,21.15629447,12.64,8.91,19.71,28.82,5.94,30.75,4.91,4.34,1.35,10.56,41.07,15.55
Agra,UttarPradesh,1048240,853,1,9,Home Improvement,11.18,7.52,1,0.21,5.164627116,4.73766242,1.282199665,0.2,1.64,2.65,1.91,0.05,0.55,0.24,0.6,0.32,0.12,0.06,2.84
Agra,UttarPradesh,1048240,853,1,9,Watches,1227.5,62.67,201.75,101.53,566.817826,519.9584506,140.7214132,122.03,1.15,70.6,130.52,314.49,51.21,9.04,55.91,53.44,22.33,313.05,83.73
Agra,UttarPradesh,1048240,853,1,9,Sports,617.94,49.21,101.5,19.46,285.3456481,261.7558487,70.8415315,71.07,149.33,154.14,89.29,7.09,34.82,8.91,13.54,14.31,34.08,18.21,23.15
Agra,UttarPradesh,1048240,853,1,9,Musical Instruments,903.15,60.8,146,33.49,417.0436396,382.5662404,103.537623,2.11,2.73,34.14,9.26,351.46,22.18,9.96,57.34,33.51,2.73,234.57,143.16
Agra,UttarPradesh,1048240,853,1,9,Building Materials and Supplies,2737.4,68.61,442.75,116.36,1264.042487,1159.542877,313.818368,87.01,747.58,13.67,664.28,352.12,233.97,118.14,70.42,72.81,52.45,224.21,100.74
Agra,UttarPradesh,1048240,853,1,9,Home Furnishing,315.96,41.74,49.5,40.61,145.900716,133.8389634,36.22214054,45.36,29.1,43.25,1.89,87.89,12.88,2.54,2.49,22.5,8.68,8.19,51.19
Agra,UttarPradesh,1048240,853,1,9,Home Lighting,55.92,20.75,9.5,1.85,25.82313558,23.6883121,6.410998326,9,3.47,0.84,11.57,4.74,8.67,3.49,0.83,1.21,0.89,10.1,1.12
Agra,UttarPradesh,1048240,853,1,9,Pet Supplies,329.94,45.02,57.75,70.61,152.3564999,139.7610414,37.82489012,17.3,52.63,48.09,54.5,42.8,6.96,12.99,0.18,2.31,22.34,31.63,38.2
Agra,UttarPradesh,1048240,853,1,9,Kids Accessories,36.35,12.81,6.25,5.05,16.78503813,15.39740287,4.167148912,5.29,1.79,0.4,12.65,0.51,3.23,2.69,0.41,0.7,0.37,7.45,0.86
Agra,UttarPradesh,1048240,853,1,9,Toys and Games,114.64,24.77,16,4.43,52.93742794,48.56103981,13.14254657,5.69,15.72,5.43,19.06,19.41,9.04,2.61,6.39,3.84,0.3,3.49,23.66
Agra,UttarPradesh,1048240,853,1,9,Mobiles & Accessories,39.15,11.14,6.25,1.6,18.07619491,16.58181847,4.487698828,9.45,0.95,2.85,3.47,2.07,9.69,1.7,0.25,0.29,2.25,1.11,5.08
Amritsar,Punjab,1474000,879,1,8,Wearable Smart Devices,3982.48,70,489,814.89,1638.408031,651.9928468,1692.076736,89.85,336.25,263.69,82.49,172.03,1120.21,97.21,1070.96,29.48,494.43,3.25,222.64
Amritsar,Punjab,1474000,879,1,8,Cameras & Accessories,41.77,15.77,3,2.38,17.18609823,6.839085806,17.74905667,0.62,0.66,7.59,3.53,0.53,5.53,8.06,2.45,3.82,3.41,3.57,1.99
Amritsar,Punjab,1474000,879,1,8,Pens & Stationery,102.11,29.18,11.67,10.44,42.01046233,16.7177653,43.38658297,2.32,5.54,1.19,6.89,8.43,25.49,5.82,13.06,8.15,16.36,8.26,0.61
Amritsar,Punjab,1474000,879,1,8,Books,515.22,48.57,41,39.36,211.9618781,84.34872494,218.9050322,8.98,1.57,90.87,74.71,14.42,31.96,97.04,20.58,85.32,15.97,13.54,60.25
Amritsar,Punjab,1474000,879,1,8,Automotive Accessories,1397.12,62.69,137.33,206.83,574.7795073,228.7294253,593.6073397,30.88,20.68,43.61,225.16,274.8,31.22,145.37,83.07,313.73,51.43,31.94,145.23
Amritsar,Punjab,1474000,879,1,8,Exercise & Fitness,55.7,16.35,5,0.21,22.91479763,9.118781074,23.66540889,4.59,1.93,3.02,6.57,9.61,3.71,5.36,4.11,0.85,13.34,1.25,1.34
Amritsar,Punjab,1474000,879,1,8,Musical Instruments,69.62,28.34,9,14.4,28.64349704,11.39847634,29.58176111,0.48,7.35,5.59,17.13,3.02,2.9,11.14,11.14,4.65,2.65,1.35,2.21
Amritsar,Punjab,1474000,879,1,8,Footwear,366.69,45.64,36.33,23.53,150.8557511,60.03197541,155.7972752,2.21,20.58,7.88,30.78,59.93,52.27,49.71,71.89,32.76,1.43,28.31,8.92
Amritsar,Punjab,1474000,879,1,8,"Kitchen, Cookware & Serveware",413.1,50.66,51,40.77,169.9514158,67.63095964,175.5184493,2.42,22.93,80.11,31.91,57.3,0.64,22.59,46.79,42.41,63.72,18.62,23.66
Amritsar,Punjab,1474000,879,1,8,Computers,4.64,1.48,0.33,0.72,1.90956647,0.759898423,1.972117408,0.63,0.12,0.12,0.33,1.1,0.36,1.4,0.09,0.12,0.36,0.01,0.01
Amritsar,Punjab,1474000,879,1,8,Home Lighting,1104.7,61.91,153.67,15.69,454.4768197,180.8558246,469.363943,81.24,66.56,284.44,8.01,123.14,38.88,252.93,4.91,81.26,130.26,30.52,2.53
Amritsar,Punjab,1474000,879,1,8,Mobiles & Accessories,459.52,48.4,61,21.1,189.0470805,75.22994386,195.2396233,5.13,62.43,60.95,24.57,26.97,76.56,15.58,135.44,39.63,4.59,5.38,2.29
Amritsar,Punjab,1474000,879,1,8,Home Decor,1373.91,59.65,146,11.09,565.231675,224.9299332,583.7467526,61.39,149.8,65.94,184.9,117.87,196.53,69.31,209,120.3,185.14,0.78,12.96
Amritsar,Punjab,1474000,879,1,8,Clothing and Accessories,399.18,44.23,46.67,63.63,164.2227164,65.35126437,169.602097,25.86,1.22,13.04,15.97,25.86,109.36,0.47,66.14,89.13,13.87,20.13,18.14
Amritsar,Punjab,1474000,879,1,8,Food Products,46.42,12.32,3.33,6.94,19.0956647,7.598984229,19.72117408,2.29,0.72,5.57,7.78,0.07,5.68,4.53,9.42,5.76,0.02,3.17,1.41
Amritsar,Punjab,1474000,879,1,8,Furniture,139.25,34.66,14.33,33.89,57.28699409,22.79695269,59.16352223,5.19,2.62,17.6,3.15,35.39,1.14,13.55,16.59,27.08,1.94,6.65,8.34
Amritsar,Punjab,1474000,879,1,8,Toys and Games,27.85,5.97,3,1.57,11.45739882,4.559390537,11.83270445,0.29,0.33,0.87,7.4,1.35,1.83,0.64,0.05,7.69,3.46,2.16,1.78
Amritsar,Punjab,1474000,879,1,8,Festive Decor & Gifting,51.06,15.04,6.33,0.83,21.00523116,8.358882652,21.69329148,2.9,1.55,12.81,2.14,2.59,3.46,6.58,0.26,8.44,6.42,3.06,0.85
Amritsar,Punjab,1474000,879,1,8,Home Cleaning & Bathroom Accessories,162.46,39.1,15.33,18.29,66.83482643,26.5964448,69.02410926,11.77,7.63,22,7.33,0.58,36.91,16.99,6.94,40.64,4.45,2.27,4.93
Amritsar,Punjab,1474000,879,1,8,Watches,459.52,44.1,60.67,4.95,189.0470805,75.22994386,195.2396233,3.7,63.98,18.04,23.36,128.62,19.03,18.86,31.4,94.42,50.55,4.04,3.52
Amritsar,Punjab,1474000,879,1,8,Baby Care,6535.35,70,882.33,902,2688.669589,1069.936979,2776.74131,83.56,420.16,1167.1,345.3,973.09,203.18,516.98,1164.92,720.07,374.77,42.93,523.29
Amritsar,Punjab,1474000,879,1,8,Audio & Video,139.25,36.58,12,10.38,57.28699409,22.79695269,59.16352223,0.84,13.25,19.8,8.73,13.68,15.07,11.08,23.33,15.05,9.7,7.99,0.71
Amritsar,Punjab,1474000,879,1,8,Pet Supplies,92.83,31.38,13,3.94,38.19132939,15.19796846,39.44234815,0.72,2.85,17.03,0.94,4.29,15.93,14.12,17.19,6.47,1.66,7.94,3.69
Amritsar,Punjab,1474000,879,1,8,Home & Kitchen,1220.74,62.51,128.67,49.43,502.2159815,199.8532852,518.6668782,68.66,0.45,304.7,143.86,46.58,7.07,115.89,206,30.43,166.36,102.56,28.19
Amritsar,Punjab,1474000,879,1,8,Building Materials and Supplies,157.81,30.1,20.33,12.21,64.92525996,25.83654638,67.05199186,10.88,4.68,28.86,6.58,17.58,11.91,24.79,2.37,24.48,15.41,1.25,9.03
Amritsar,Punjab,1474000,879,1,8,Home Furnishing,27.85,6.52,3.33,1.48,11.45739882,4.559390537,11.83270445,0.69,0.82,0.63,2.01,6,2.81,0.54,5.18,4.92,1.2,2.07,0.98
Amritsar,Punjab,1474000,879,1,8,Health Care,2158.34,60.52,251,213.5,887.9484083,353.3527666,917.0345945,28.42,90.53,46.11,555.17,71.45,215.23,488.67,32.52,307.69,88.16,129.51,104.89
Amritsar,Punjab,1474000,879,1,8,Beauty and Grooming,69.62,24.52,8,0.75,28.64349704,11.39847634,29.58176111,1.18,4.65,8.77,18.11,1.52,0.24,2.23,0.25,3.44,23.66,0.83,4.73
Amritsar,Punjab,1474000,879,1,8,"Bags, Wallets & Belts",181.02,32.46,20.33,15.78,74.47309231,29.63603849,76.91257889,0.16,0.78,37.5,5.99,27.04,3.94,7.14,15.07,7.23,47.48,15.08,13.62
Amritsar,Punjab,1474000,879,1,8,Jewellery,566.27,46.69,53.67,61.69,232.9671093,92.70760759,240.5983237,32.14,16.75,166.32,2.11,34.98,29.56,54.83,104.63,38.67,42.47,26.19,17.63
Amritsar,Punjab,1474000,879,1,8,Home Improvement,283.14,46.55,23,6.58,116.4835546,46.3538038,120.2991619,11,2.08,42.81,16.59,41,16.08,7.15,33.22,59.32,20.6,23.58,9.71
Amritsar,Punjab,1474000,879,1,8,Kids Accessories,27.85,13.65,3.67,4.16,11.45739882,4.559390537,11.83270445,1.26,1.15,2.47,6.15,0.49,2.36,8.45,2.99,0.33,0.06,0.81,1.34
Amritsar,Punjab,1474000,879,1,8,Health & Personal Care Appliances,2501.81,63.2,303.33,134.31,1029.256327,409.5852499,1062.971283,133.02,5.54,35.8,538.43,202.7,252.32,46.45,526.23,1.88,488.4,66.67,204.35
Amritsar,Punjab,1474000,879,1,8,Sports,46.42,14.89,6,9.78,19.0956647,7.598984229,19.72117408,2.65,0.42,2.7,1,5.61,9.79,0.73,10.85,3.26,4.88,2.24,2.3
Lucknow,UttarPradesh,1670718,915,1,8,Home Cleaning & Bathroom Accessories,387.71,44.78,68.5,69,116.9069554,124.5861199,146.2192088,39.34,14.67,53.2,45.15,3.61,14.95,82.66,14.72,12.04,36.79,45.31,25.26
Lucknow,UttarPradesh,1670718,915,1,8,Baby Care,234.86,38.74,59,47.14,70.81863643,75.47043799,88.57509764,16.24,10.53,15.72,5.42,33.77,15.9,27.57,24.22,10.75,26.04,1.41,47.29
Lucknow,UttarPradesh,1670718,915,1,8,Jewellery,37.28,15.85,6.5,4.24,11.2410534,11.9794346,14.05953931,9.68,0.84,0.31,1.08,2.76,7.09,0.99,9.13,2.46,1.47,0.61,0.85
Lucknow,UttarPradesh,1670718,915,1,8,Exercise & Fitness,574.11,55.36,102,89.03,173.1122224,184.4832929,216.5169054,85.78,80.06,42.24,17.35,33.79,79.73,56.5,14.79,90.98,54.25,7.78,10.86
Lucknow,UttarPradesh,1670718,915,1,8,Audio & Video,22.37,4.84,3.5,0.93,6.744632041,7.187660761,8.435723585,0.14,0.95,1.58,1.62,0.75,2.79,4.41,0.67,2.62,0.73,5.19,0.9
Lucknow,UttarPradesh,1670718,915,1,8,Wearable Smart Devices,2508.95,64.19,575,645.27,756.5228939,806.2159487,946.2069955,102.37,320.72,343.98,4.89,183.24,224.41,183.04,424.13,91.07,247.96,264.35,118.78
Lucknow,UttarPradesh,1670718,915,1,8,Clothing and Accessories,589.02,56.17,128.5,5.37,177.6086437,189.2750667,222.1407211,75.88,1.26,35.63,119.25,11.03,11.7,55.02,58.12,81.57,27.43,51.08,61.05
Lucknow,UttarPradesh,1670718,915,1,8,Books,111.84,24.49,16.5,5.91,33.7231602,35.93830381,42.17861793,0.94,7.99,0.36,0.56,24.67,8.13,1.95,8.2,28.57,3.46,6.68,20.34
Lucknow,UttarPradesh,1670718,915,1,8,Pens & Stationery,346.7,42.45,75,27.06,104.5417966,111.4087418,130.7537156,31.09,7,47.57,0.54,54.07,2.36,45.38,26.96,41.6,16.82,18.97,54.35
Lucknow,UttarPradesh,1670718,915,1,8,Automotive Accessories,1271.25,59.11,233.5,21.63,383.319921,408.4987199,479.4302904,61.3,196.23,132.63,50.77,24.06,175.86,108.81,83.22,263.38,24.02,25.66,125.3
Lucknow,UttarPradesh,1670718,915,1,8,Furniture,622.58,54,121,18.02,187.7255918,200.0565579,234.7943065,52.06,77.75,0.22,35.54,142.26,9.7,5.94,8.73,99.17,120.95,67.17,3.09
Lucknow,UttarPradesh,1670718,915,1,8,Food Products,1114.67,60.32,158,56.82,336.1074967,358.1850946,420.3802253,58.19,195.08,87.86,95.7,122.93,29.62,53.82,119.7,57.55,189.31,14.52,90.4
Lucknow,UttarPradesh,1670718,915,1,8,"Bags, Wallets & Belts",18.64,6.91,3.5,2.22,5.6205267,5.989717301,7.029769654,0.08,1.18,0.4,1.29,1.35,2.58,1.01,0.86,2.28,2.87,3.31,1.43
Lucknow,UttarPradesh,1670718,915,1,8,Home Decor,216.22,34.55,42.5,3.27,65.19810973,69.48072069,81.54532799,11.91,21.85,2.97,3.24,5.71,53.28,21.94,34.14,9.15,16.31,10.69,25.03
Lucknow,UttarPradesh,1670718,915,1,8,Computers,443.63,50.05,99.5,35.25,133.7685355,142.5552718,167.3085178,32.09,17.63,32.47,28.85,23.77,48.68,109.91,10.23,41.78,5.38,56.43,36.41
Lucknow,UttarPradesh,1670718,915,1,8,Home & Kitchen,93.2,24.27,18,5.88,28.1026335,29.9485865,35.14884827,7.04,10.18,0.9,15.15,0.6,11.46,1.13,13.98,13.74,6.3,11.91,0.82
Lucknow,UttarPradesh,1670718,915,1,8,"Kitchen, Cookware & Serveware",33.55,7.8,7.5,6.24,10.11694806,10.78149114,12.65358538,3.12,2.74,4.17,1.26,2.92,1.77,3.03,3.13,2.78,3.72,2.06,2.86
Lucknow,UttarPradesh,1670718,915,1,8,Health & Personal Care Appliances,477.18,47.08,108,61.23,143.8854835,153.3367629,179.9621032,12.65,27.96,13.02,64.63,7.84,58.4,17.47,54.06,4.02,104.42,101.98,10.75
Lucknow,UttarPradesh,1670718,915,1,8,Health Care,167.76,34.03,36,4.72,50.5847403,53.90745571,63.26792689,35.76,3.08,7.94,32.37,3.06,7.22,2.08,20.46,38.29,2.44,2.99,12.07
Lucknow,UttarPradesh,1670718,915,1,8,Footwear,4007.6,70,747,494.3,1208.413241,1287.78922,1511.400476,371.07,200.05,547.41,209.85,396.72,54.43,969.33,47.72,257.08,237.27,222.43,494.24
Lucknow,UttarPradesh,1670718,915,1,8,Festive Decor & Gifting,160.3,37.98,38.5,8.79,48.33652962,51.51156879,60.45601903,4.6,30.73,9.36,1.46,18.24,19.27,38.62,0.94,2.84,18.05,6.41,9.77
Lucknow,UttarPradesh,1670718,915,1,8,Beauty and Grooming,1062.48,63.4,235,154.91,320.3700219,341.4138862,400.6968703,199.08,48.99,182.37,17.26,15.01,105.73,42.17,283.67,61.03,13.82,32.93,60.42
Lucknow,UttarPradesh,1670718,915,1,8,Cameras & Accessories,246.05,45.56,36,40.9,74.19095245,79.06426837,92.79295944,17.33,0.13,19.68,23.87,8.37,22.27,2.43,29.45,48.34,12.58,9.58,52.03
Lucknow,UttarPradesh,1670718,915,1,8,Home Improvement,14.91,3.22,2,0.59,4.49642136,4.791773841,5.623815723,1.8,0.94,0.63,2.6,1.19,0.08,0.89,0.59,3.66,0.48,1.2,0.85
Lucknow,UttarPradesh,1670718,915,1,8,Watches,1636.59,58.92,403.5,20.59,493.4822443,525.897179,617.2137757,95.31,125.67,263.59,90.97,45.76,93.16,36.6,306.87,139.86,133.88,250.26,54.66
Lucknow,UttarPradesh,1670718,915,1,8,Sports,823.89,52.16,203,127.03,248.4272802,264.7455047,310.7158187,62.3,33,19.78,197.07,26.31,5.27,149.33,106.83,14.71,39.84,26.04,143.41
Lucknow,UttarPradesh,1670718,915,1,8,Musical Instruments,1204.14,59.28,292,130.21,363.0860249,386.9357376,454.1231197,215.59,64.77,3.23,52.55,158.53,148.77,4.64,216.42,176.25,56.81,8.77,97.8
Lucknow,UttarPradesh,1670718,915,1,8,Building Materials and Supplies,3649.71,68.57,885.5,43.84,1100.499128,1172.786648,1376.428898,243.78,179.25,767.95,279.24,30.32,22.99,112.18,602.41,222.52,439.32,715.94,33.81
Lucknow,UttarPradesh,1670718,915,1,8,Home Furnishing,421.26,46.68,99,71.49,127.0239034,135.367611,158.8727942,7.46,65.42,66.06,18.35,1.54,41.07,21.48,29.53,79.45,28.42,60.36,2.13
Lucknow,UttarPradesh,1670718,915,1,8,Home Lighting,74.56,22.7,19,8.5,22.4821068,23.9588692,28.11907862,12.94,2.58,11.04,2.04,6.03,3.37,7.11,10.46,4.78,5.76,4.32,4.12
Lucknow,UttarPradesh,1670718,915,1,8,Pet Supplies,439.9,51.78,115.5,38.42,132.6444301,141.3573283,165.9025638,9.9,14.26,1.13,30.13,62.81,38.57,2.31,101.17,25.02,37.4,4.92,112.27
Lucknow,UttarPradesh,1670718,915,1,8,Kids Accessories,48.46,17.43,12.5,5.29,14.61336942,15.57326498,18.2774011,1.32,7.77,0.38,1.63,7.3,5.31,3.85,11.24,2.16,1.03,3.97,2.52
Lucknow,UttarPradesh,1670718,915,1,8,Toys and Games,152.85,32.03,32,47,46.08831894,49.11568187,57.64411117,21.92,6.69,9.34,7.78,3.56,25.41,37.5,6.46,9.41,4.28,1.97,18.53
Lucknow,UttarPradesh,1670718,915,1,8,Mobiles & Accessories,52.19,14.4,12.5,7,15.73747476,16.77120844,19.68335503,0.12,3.29,0.1,2.26,4.99,8.4,2.48,1.27,11.2,4.73,5.44,7.92
Kota,Rajasthan,1269751,890,1,9,Home Decor,521.54,52.52,144,198.85,260.766006,160.1369262,100.6366276,81.74,26.14,136.5,42.14,56.19,25.94,48.06,24.56,27.74,0.28,7.55,44.7
Kota,Rajasthan,1269751,890,1,9,Computers,1131.34,61.17,355,306.39,565.6616437,347.3739476,218.304069,27.31,132.61,157.64,86.57,40.78,280.67,12.35,46.78,37.07,122.1,154.27,33.19
Kota,Rajasthan,1269751,890,1,9,Festive Decor & Gifting,29.42,14.92,9.5,9.26,14.70987726,9.033365067,5.676937966,4.14,1.31,0.99,6.82,3.43,3.46,0.47,2.39,0.71,2.11,1.2,2.39
Kota,Rajasthan,1269751,890,1,9,Pet Supplies,128.38,36.5,47,9.63,64.18855532,39.41832029,24.77209294,9.36,9.85,9.21,18.45,31.26,5.27,5.06,6.89,3.69,9.13,4.85,15.36
Kota,Rajasthan,1269751,890,1,9,Home & Kitchen,48.14,15.67,13,21.07,24.07070824,14.78187011,9.289534853,0.36,0.19,12.59,4.77,6.01,0.7,0.67,1.06,0.97,6.59,9.4,4.83
Kota,Rajasthan,1269751,890,1,9,Jewellery,719.46,57.69,177.5,126,359.7233621,220.9068366,138.8269375,0.11,18.05,130.71,131.89,2.25,94.87,29.81,50.15,40.95,17.91,141.24,61.51
Kota,Rajasthan,1269751,890,1,9,Home Cleaning & Bathroom Accessories,2455.25,67.31,605.5,1448.01,1227.60612,753.8753756,473.7662775,32.56,424.94,106.21,55.61,942.71,123.07,194.31,153.1,22.3,104.05,97.03,199.35
Kota,Rajasthan,1269751,890,1,9,Baby Care,411.88,44.24,144.5,40.47,205.9382816,126.4671109,79.47713152,3.64,44.28,62.63,21.37,9.28,112.66,4.16,8.36,34.96,32,12.19,66.36
Kota,Rajasthan,1269751,890,1,9,Audio & Video,4078.71,64.79,937.5,1612.22,2039.323893,1252.352884,787.0300361,140.58,687.69,193.8,502.83,299.49,1043.2,119.34,221.54,25.92,420.23,307.26,116.82
Kota,Rajasthan,1269751,890,1,9,Sports,40.12,14.46,13.5,28.27,20.05892354,12.31822509,7.741279044,1.68,2.8,4.52,0.2,9.3,6.05,0.77,1.5,3.92,1.56,3.66,4.17
Kota,Rajasthan,1269751,890,1,9,Toys and Games,37.44,9.38,10.5,17.99,18.72166197,11.49701009,7.225193774,1.42,2.86,1.23,2.43,3.13,11.93,1.35,3.97,1.4,0.51,5.74,1.48
Kota,Rajasthan,1269751,890,1,9,Musical Instruments,679.34,48.64,229.5,187.66,339.6644385,208.5886116,131.0856585,23.15,42.43,210.79,32.34,54.03,42.5,93.25,12.03,18.14,7.66,83.88,59.13
Kota,Rajasthan,1269751,890,1,9,Mobiles & Accessories,591.08,53.64,204,170.02,295.5348068,181.4885164,114.0548446,21.26,42.1,52.54,84.4,22.94,135.66,17.96,11.05,83.33,1.72,76.04,42.09
Kota,Rajasthan,1269751,890,1,9,Clothing and Accessories,1005.64,61.59,306,527.16,502.81035,308.7768423,194.0480614,82.15,58.86,225.96,172.52,37.6,66.74,79.97,56.07,34.5,23.5,163.84,3.93
Kota,Rajasthan,1269751,890,1,9,Exercise & Fitness,69.54,25.27,17,16.32,34.7688008,21.35159016,13.41821701,13.24,1.33,1.41,1.1,24.57,7.68,0.51,1.64,4.33,6.94,5.92,0.86
Kota,Rajasthan,1269751,890,1,9,Food Products,1182.16,63.79,234,177.89,591.0696135,362.9770327,228.1096892,133.57,214.04,68.42,176.12,272.5,74.03,65.28,107.53,54.89,0.41,9.17,6.19
Kota,Rajasthan,1269751,890,1,9,Books,149.78,30.61,31,29.77,74.88664787,45.98804034,28.9007751,0.79,22.68,14.53,35.65,19.15,5.55,5.64,15.96,3.21,4.1,3.55,18.97
Kota,Rajasthan,1269751,890,1,9,Furniture,141.75,31.71,38,66.35,70.87486316,43.52439532,27.35251929,16.2,10.37,4,26.72,16.33,23.82,1.25,0.71,18.81,6.58,0.79,16.17
Kota,Rajasthan,1269751,890,1,9,Home Improvement,240.71,40.99,51,41.22,120.3535412,73.90935055,46.44767426,16.16,44.13,73.78,0.42,41.83,4.32,7.04,5.17,32.5,1.74,7.17,6.45
Kota,Rajasthan,1269751,890,1,9,Automotive Accessories,160.47,34.84,41,69.08,80.23569415,49.27290037,30.96511618,34.74,5.31,7.5,51.48,18.99,2.26,18.71,10.04,1.68,0.54,3.34,5.88
