Product Name,Weight (quintal),Length (meters),Width (meters),Height (meters),Volume (cubic meters)
Product_501,0.514,0.88,1.528,1.644,2.212
Product_504,1.487,0.62,1.164,1.451,1.047
Product_506,2.217,1.164,1.235,2.357,3.387
Product_507,3.534,0.541,1.135,1.058,0.65
Product_508,0.549,1.183,1.261,0.561,0.837
Product_509,1.538,1.675,1.585,1.242,3.295
Product_510,3.576,1.765,1.013,1.337,2.391
Product_512,4.865,0.944,1.198,0.911,1.031
Product_513,1.732,0.963,0.721,2.118,1.471
Product_514,3.781,1.737,0.587,0.974,0.993
Product_515,0.95,1.948,0.734,1.899,2.714
Product_517,1.233,1.695,0.809,2.417,3.312
Product_519,3.888,1.613,1.72,1.585,4.398
Product_520,2.661,0.864,2.022,2.06,3.601
Product_523,4.024,2.308,0.944,2.467,5.377
Product_525,3.329,1.146,1.908,0.77,1.684
Product_526,4.052,1.855,0.607,0.631,0.711
Product_527,0.693,1.495,0.59,2.233,1.971
Product_532,2.872,1.998,1.32,1.209,3.19
Product_533,3.723,1.413,1.815,1.263,3.239
Product_537,1.604,1.107,2.016,0.515,1.149
Product_538,1.552,1.235,1.022,2.322,2.931
Product_540,1.868,2.05,1.622,2.373,7.891
Product_541,4.04,1.583,1.08,2.35,4.016
Product_542,1.101,0.565,2.107,1.946,2.315
Product_543,3.653,0.728,1.563,1.702,1.938
Product_547,0.872,2.268,1.007,2.368,5.408
Product_551,0.752,1.877,1.278,2.1,5.037
Product_552,4.729,1.871,0.925,0.996,1.723
Product_561,3.762,2.239,0.983,1.277,2.809
Product_563,4.035,1.457,1.738,1.777,4.5
Product_567,1.165,1.05,0.868,0.901,0.822
Product_568,0.836,0.617,1.574,1.106,1.075
Product_570,4.572,2.444,0.667,1.788,2.914
Product_571,3.949,2.322,2.241,1.999,10.4
Product_572,3.859,2.274,0.655,1.924,2.866
Product_573,4.509,2.36,0.777,2.395,4.393
Product_574,4.597,2.205,1.3,2.487,7.128
Product_575,1.583,0.628,1.708,1.511,1.62
Product_577,1.168,2.289,1.73,1.394,5.52
Product_579,3.004,1.538,1.205,1.382,2.562
Product_580,4.26,2.247,0.706,1.171,1.857
Product_583,1.907,0.587,1.813,1.983,2.111
Product_585,2.276,0.736,1.886,0.511,0.709
Product_586,2.739,1.949,0.991,2.237,4.318
Product_588,1.221,0.691,1.893,2.155,2.821
Product_589,3.762,2.214,1.963,2.257,9.809
Product_590,0.614,2.123,0.711,2.279,3.44
Product_591,4.499,1.239,2.262,0.511,1.432
Product_593,0.811,1.671,1.221,1.046,2.133
Product_594,2.66,0.962,2.234,2.36,5.07
Product_595,0.781,0.696,0.942,1.606,1.053
Product_597,2.69,1.237,0.751,0.869,0.808
Product_598,1.233,2.036,1.8,2.02,7.405
Product_599,3.501,1.469,2.001,0.86,2.529
Product_600,1.433,1.483,0.945,1.513,2.121
Product_601,3.202,0.783,0.816,1.523,0.973
Product_602,2.311,2.206,2.063,2.089,9.503
Product_603,4.171,1.767,1.981,2.065,7.229
Product_605,0.604,2.473,2.235,1.368,7.565
Product_606,1.46,0.544,2.139,1.615,1.88
Product_607,1.48,2.322,1.854,1.908,8.211
Product_610,1.833,2.217,0.534,1.425,1.687
Product_612,2.177,2.322,1.185,0.588,1.618
Product_618,4.492,1.983,1.36,1.36,3.67
Product_622,1.814,0.862,0.661,2.162,1.233
Product_626,2.984,0.547,1.953,1.989,2.126
Product_627,3.977,1.457,0.614,0.72,0.643
Product_629,3.688,2.194,0.599,1.349,1.773
Product_632,3.842,2.309,2.052,1.655,7.843
Product_634,0.826,1.731,1.285,2.216,4.929
Product_635,3.123,0.793,0.736,1.614,0.942
Product_637,2.341,0.586,1.163,2.187,1.492
Product_639,3.974,0.533,2.354,1.78,2.234
Product_645,3.672,1.978,1.205,2.26,5.384
Product_648,2.826,0.992,1.205,0.681,0.814
Product_649,3.377,2.469,2.031,2.015,10.108
Product_653,2.191,2.106,1.256,0.984,2.603
Product_654,0.904,0.773,1.816,1.481,2.079
Product_655,2.53,1.209,2.0,1.008,2.436
Product_657,0.793,0.807,2.228,1.143,2.054
Product_658,0.662,0.828,2.168,1.238,2.223
Product_661,0.857,0.829,0.563,2.038,0.952
Product_662,2.831,1.983,1.843,2.089,7.637
Product_665,2.399,1.159,1.363,2.051,3.241
Product_666,4.838,2.391,1.55,2.237,8.289
Product_669,3.119,1.828,2.354,2.091,8.998
Product_670,4.17,1.145,1.648,2.496,4.712
Product_675,3.769,0.94,2.475,1.929,4.487
Product_677,1.363,2.361,2.178,1.732,8.903
Product_678,4.732,1.302,1.646,2.175,4.66
Product_685,3.844,2.234,1.828,2.44,9.962
Product_687,2.245,0.614,2.068,1.027,1.304
Product_688,3.077,1.744,1.36,2.231,5.293
Product_689,1.909,2.383,2.302,2.32,12.728
Product_690,4.958,1.598,2.495,1.024,4.085
Product_696,4.62,1.65,1.554,2.142,5.495
Product_697,3.988,1.051,0.566,1.207,0.718
Product_703,2.114,1.259,1.809,1.203,2.739
Product_708,4.904,2.489,1.534,1.852,7.07
Product_709,4.683,1.03,1.634,1.952,3.285
Product_711,1.681,2.115,0.693,0.6,0.88
Product_712,2.248,2.073,1.061,1.702,3.746
Product_713,4.98,0.823,0.883,1.957,1.422
Product_714,3.745,0.602,2.38,1.867,2.673
Product_715,4.487,1.508,1.222,0.986,1.816
Product_716,3.899,1.323,1.227,1.072,1.741
Product_720,0.625,1.369,1.615,1.01,2.234
Product_723,0.716,2.386,0.903,0.54,1.162
Product_724,0.836,2.26,1.735,1.132,4.441
Product_726,3.36,2.415,1.29,0.636,1.981
Product_729,3.102,1.836,1.828,1.152,3.865
Product_730,4.836,1.178,1.486,2.257,3.95
Product_732,2.951,0.622,0.685,1.977,0.842
Product_734,4.447,2.475,1.318,0.884,2.883
Product_736,4.217,2.191,0.532,1.112,1.297
Product_738,3.874,1.176,1.911,1.061,2.384
Product_742,4.488,1.183,1.683,1.226,2.443
Product_744,1.169,1.278,0.527,1.534,1.034
Product_745,3.903,1.653,1.996,0.759,2.504
Product_748,2.095,1.551,1.864,2.274,6.576
Product_750,4.245,1.028,1.179,2.195,2.66
Product_751,2.671,1.532,0.588,0.836,0.753
Product_754,2.847,1.105,1.631,2.002,3.607
Product_758,4.772,0.993,0.932,1.526,1.413
Product_761,4.786,1.329,1.928,0.656,1.68
Product_762,1.281,2.067,1.07,0.557,1.233
Product_765,3.46,0.609,0.841,0.954,0.489
Product_766,3.576,0.851,1.017,1.214,1.05
Product_767,1.475,1.579,0.693,1.541,1.687
Product_770,1.918,2.133,2.229,1.947,9.255
Product_771,1.606,1.869,1.614,1.623,4.896
Product_772,0.561,1.473,1.046,2.15,3.311
Product_773,2.821,2.477,0.974,0.896,2.162
Product_776,3.611,2.227,0.584,0.86,1.118
Product_780,2.988,1.213,1.197,1.638,2.378
Product_781,3.603,0.658,2.476,1.411,2.3
Product_782,4.604,1.555,0.794,1.299,1.604
Product_783,4.819,1.505,1.217,1.153,2.112
Product_785,1.987,1.146,1.014,1.691,1.966
Product_786,3.447,1.528,1.704,1.528,3.98
Product_790,3.345,1.691,2.318,2.123,8.318
Product_791,4.859,1.937,2.245,1.783,7.755
Product_792,1.339,0.802,2.107,2.49,4.205
Product_793,0.761,1.472,1.893,0.994,2.77
Product_798,2.39,0.945,1.364,1.682,2.168
Product_800,2.495,1.507,1.642,1.111,2.751
Product_803,1.821,0.59,2.203,2.084,2.71
Product_806,3.019,1.111,1.255,1.26,1.755
Product_807,1.26,2.212,1.481,1.681,5.509
Product_809,2.146,1.339,1.993,1.872,4.995
Product_814,3.58,2.033,2.29,2.411,11.228
Product_815,1.319,1.303,1.174,2.027,3.1
Product_816,2.92,0.717,1.566,0.659,0.741
Product_817,1.494,2.068,1.647,2.294,7.814
Product_818,2.227,1.175,1.032,2.287,2.774
Product_819,4.247,0.89,1.78,0.941,1.492
Product_824,4.616,1.008,0.961,1.73,1.675
Product_827,0.916,1.627,0.752,1.301,1.592
Product_829,2.632,1.444,1.769,1.513,3.865
Product_833,4.569,0.663,1.113,1.064,0.785
Product_834,4.071,1.252,1.798,1.139,2.564
Product_835,1.899,2.399,2.265,1.121,6.094
Product_836,3.15,2.085,1.806,2.094,7.884
Product_837,2.657,1.196,1.215,1.067,1.55
Product_838,1.361,2.024,0.726,1.705,2.506
Product_842,0.779,1.725,0.694,1.993,2.386
Product_843,4.338,2.328,0.872,2.154,4.375
Product_844,4.584,1.575,2.261,2.303,8.199
Product_846,4.66,0.791,1.814,1.243,1.783
Product_848,3.308,1.636,0.679,1.559,1.733
Product_851,2.653,1.011,1.103,1.703,1.899
Product_857,1.523,0.599,1.482,1.882,1.671
Product_859,0.775,2.062,1.65,1.546,5.259
Product_862,4.045,1.759,2.431,1.185,5.066
Product_863,1.799,2.454,0.679,0.898,1.496
Product_865,2.003,2.062,1.739,1.663,5.96
Product_866,2.553,2.243,2.281,1.956,10.008
Product_871,2.681,0.885,2.412,1.622,3.462
Product_872,4.914,1.652,2.067,2.351,8.03
Product_874,3.058,2.205,1.567,1.495,5.169
Product_880,4.439,1.985,1.047,1.526,3.173
Product_881,2.135,1.279,2.122,1.121,3.044
Product_883,3.05,1.331,1.929,2.288,5.873
Product_884,3.298,0.68,1.333,2.014,1.827
Product_888,3.969,0.629,1.614,0.957,0.972
Product_891,1.442,2.091,2.037,1.569,6.681
Product_892,4.257,1.943,1.404,1.437,3.921
Product_893,2.328,1.5,0.782,1.481,1.738
Product_894,3.197,0.949,1.806,1.879,3.221
Product_895,1.126,1.831,0.866,1.733,2.749
Product_898,1.337,1.788,1.514,0.772,2.091
Product_901,3.1,2.304,0.683,1.973,3.107
Product_902,0.694,1.383,0.876,1.609,1.949
Product_903,3.603,1.722,1.354,1.764,4.113
Product_904,1.555,1.66,1.299,2.309,4.977
Product_909,1.983,2.232,2.381,0.726,3.856
Product_910,1.759,1.553,1.944,1.614,4.873
Product_911,1.435,1.859,1.407,1.051,2.751
Product_919,4.653,0.644,1.311,0.856,0.723
Product_921,2.728,1.238,1.724,0.608,1.298
Product_922,1.461,0.965,0.851,2.374,1.949
Product_923,4.921,2.354,0.588,2.145,2.968
Product_924,1.547,2.291,0.802,0.576,1.059
Product_926,4.694,1.294,1.819,1.315,3.095
Product_927,2.92,1.152,0.547,0.528,0.333
Product_928,4.694,2.296,2.111,1.073,5.198
Product_929,3.51,0.559,1.964,2.344,2.576
Product_931,2.972,1.449,1.875,0.83,2.254
Product_932,1.332,1.595,1.051,1.528,2.563
Product_933,3.321,1.783,1.176,1.703,3.569
Product_934,1.664,1.161,1.033,0.871,1.045
Product_935,0.81,1.228,2.496,1.222,3.745
Product_937,4.824,1.335,0.514,2.42,1.662
Product_938,4.912,1.786,2.079,2.308,8.566
Product_939,1.811,1.636,1.72,2.243,6.313
Product_941,1.747,1.801,1.872,1.159,3.91
Product_942,2.356,1.367,1.306,2.221,3.965
Product_944,2.809,1.952,2.459,1.037,4.978
Product_945,3.994,0.732,0.534,1.584,0.619
Product_947,2.93,1.059,0.832,2.459,2.166
Product_948,2.696,1.297,1.127,1.393,2.036
Product_949,3.633,1.718,0.615,1.863,1.968
Product_951,2.292,0.928,1.636,1.293,1.962
Product_952,4.996,1.958,0.582,2.306,2.628
Product_953,0.854,2.418,2.347,1.14,6.47
Product_954,3.654,1.308,1.86,2.096,5.099
Product_957,2.251,2.366,1.984,1.665,7.814
Product_958,0.722,0.812,0.985,1.822,1.458
Product_959,0.603,2.421,1.472,1.97,7.017
Product_961,4.63,2.041,2.38,0.646,3.139
Product_964,3.787,1.702,0.96,1.271,2.077
Product_965,1.773,1.711,0.786,1.81,2.434
Product_968,3.615,0.688,2.14,2.177,3.206
Product_969,2.845,0.612,2.401,1.386,2.036
Product_970,3.793,1.994,2.191,2.21,9.657
Product_971,2.42,1.366,2.471,0.549,1.852
Product_973,2.273,1.81,0.649,1.138,1.337
Product_974,2.499,1.626,1.507,0.557,1.365
Product_975,3.737,0.656,0.702,2.456,1.131
Product_977,4.74,1.209,1.201,0.777,1.129
Product_978,3.771,2.05,1.111,1.062,2.42
Product_979,1.284,1.386,1.014,1.037,1.456
Product_980,4.426,1.516,1.913,0.911,2.641
Product_986,3.328,2.476,1.0,1.963,4.861
Product_990,4.063,2.136,1.523,2.483,8.076
Product_991,0.915,2.394,0.679,1.325,2.154
Product_992,2.302,0.924,2.156,1.072,2.135
Product_993,4.607,2.224,1.765,2.405,9.442
Product_994,1.743,1.866,1.112,1.709,3.545
Product_995,4.826,1.067,2.383,1.006,2.556
Product_996,1.999,1.079,1.963,2.325,4.922
Product_998,1.503,1.472,1.524,0.913,2.048
Product_999,4.788,1.575,1.827,2.196,6.319
Product_1001,1.232,0.936,2.1,1.631,3.205
Product_1002,2.755,1.837,1.383,0.797,2.025
Product_1004,2.012,0.555,0.6,1.938,0.645
Product_1005,4.364,1.217,0.709,0.877,0.757
Product_1010,4.605,1.432,1.65,1.2,2.836
Product_1011,3.688,0.603,0.599,1.999,0.721
Product_1015,1.523,0.643,0.736,1.264,0.599
Product_1016,4.227,2.377,1.282,1.6,4.875
Product_1017,1.469,1.86,2.177,0.79,3.2
Product_1019,4.833,1.048,1.343,1.982,2.792
Product_1021,4.603,2.211,2.418,1.579,8.439
Product_1022,4.85,2.107,2.203,1.382,6.411
Product_1023,1.49,0.631,2.491,0.51,0.803
Product_1025,2.328,1.68,0.745,1.936,2.425
Product_1027,1.274,2.447,0.781,1.322,2.527
Product_1028,4.999,1.831,2.188,0.808,3.235
Product_1029,3.562,2.38,2.079,0.576,2.848
Product_1031,2.753,1.885,1.693,1.335,4.259
Product_1033,3.97,2.184,0.742,1.885,3.055
Product_1039,3.737,0.933,1.167,1.33,1.448
Product_1041,0.912,1.534,1.363,1.631,3.412
Product_1043,4.396,0.647,1.578,2.312,2.36
Product_1044,4.019,1.05,0.808,1.446,1.227
Product_1046,4.477,1.458,2.456,1.091,3.908
Product_1047,4.565,0.914,2.013,0.631,1.159
Product_1048,4.702,1.752,2.19,2.437,9.35
Product_1049,0.84,2.027,1.302,1.643,4.337
Product_1050,3.799,0.816,1.384,2.283,2.578
Product_1055,4.932,1.65,2.169,2.142,7.667
Product_1057,1.263,1.053,2.291,1.981,4.777
Product_1058,3.656,1.397,1.354,1.794,3.394
Product_1062,4.218,1.346,1.991,1.561,4.182
Product_1066,3.948,1.581,1.206,2.439,4.649
Product_1067,4.599,0.565,1.274,1.863,1.34
Product_1068,2.606,0.613,2.356,2.34,3.38
Product_1069,1.657,1.271,1.623,2.29,4.724
Product_1072,4.977,2.003,2.265,1.218,5.525
Product_1073,3.462,2.404,1.377,1.911,6.325
Product_1074,4.885,0.834,0.518,0.722,0.311
Product_1076,2.065,0.695,1.273,2.346,2.076
Product_1083,0.686,1.208,1.893,1.004,2.297
Product_1085,2.471,2.258,0.612,2.031,2.806
Product_1088,2.853,1.393,1.396,1.671,3.249
Product_1090,2.141,1.283,1.009,1.786,2.311
Product_1091,2.066,2.059,0.643,1.767,2.341
Product_1092,4.948,0.789,0.649,1.691,0.866
Product_1093,4.415,2.487,1.578,2.131,8.364
Product_1095,1.199,1.446,0.742,0.969,1.039
Product_1096,1.127,0.798,1.766,1.577,2.222
Product_1097,1.115,1.233,1.245,1.312,2.014
Product_1098,1.684,0.511,1.485,2.019,1.532
Product_1101,2.716,2.111,1.31,1.008,2.788
Product_1102,4.15,0.76,0.506,2.182,0.839
Product_1103,1.417,2.262,1.66,0.696,2.613
Product_1104,2.76,2.435,2.416,1.216,7.155
Product_1105,1.498,1.48,0.787,0.852,0.992
Product_1106,2.749,0.689,1.734,1.831,2.189
Product_1107,3.842,2.327,1.604,2.131,7.953
Product_1109,1.183,2.215,0.678,1.069,1.606
Product_1111,1.025,0.82,1.164,1.55,1.48
Product_1115,1.714,0.843,0.943,1.047,0.832
Product_1117,4.791,0.587,0.802,1.909,0.898
Product_1122,1.658,0.796,2.442,1.561,3.035
Product_1125,2.312,2.398,1.061,1.256,3.196
